Total,col_1,Microsoft Teams_Sim,Microsoft Teams_Não,Microsoft Teams_Não sabe,Microsoft Teams_Não respondeu,Zoom_Sim,Zoom_Não,Zoom_Não sabe,Zoom_Não respondeu,Moodle_Sim,Moodle_Não,Moodle_Não sabe,Moodle_Não respondeu,"Google Sala de Aula, Classroom ou Google For Education_Sim","Google Sala de Aula, Classroom ou Google For Education_Não","Google Sala de Aula, Classroom ou Google For Education_Não sabe","Google Sala de Aula, Classroom ou Google For Education_Não respondeu",Google Meet_Sim,Google Meet_Não,Google Meet_Não sabe,Google Meet_Não respondeu,Google (total)_Sim,Google (total)_Não,AVAMEC_Sim,AVAMEC_Não,AVAMEC_Não sabe,AVAMEC_Não respondeu,Outros ambientes ou plataformas_Sim,Outros ambientes ou plataformas_Não,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
DEPENDÊNCIA ADMINISTRATIVA,Particular,6971,17920,972,-,6639,17209,788,1227,1123,23500,627,614,8827,17036,0,-,12101,13762,0,-,13411,12452,795,23211,1243,614,5400,20463,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,8583,46204,1170,-,11837,42933,1188,0,2544,51964,1449,0,9445,46178,335,-,28496,27391,72,-,29388,26570,16025,38234,487,1211,8449,47509,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,9492,32746,861,-,8295,33396,181,1227,1416,40697,372,614,14086,28948,65,-,21809,21290,0,-,24604,18495,7272,32947,1983,898,6075,37024,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,12710,17620,585,-,11801,18075,1040,0,3335,25994,1436,151,15777,14979,160,-,22109,8641,166,-,23149,7767,6209,23667,1037,2,7060,23856,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
PORTE,Até 50 matrículas,928,25377,146,-,3338,22716,397,0,416,26035,0,0,2283,24168,0,-,8820,17631,0,-,9209,17241,3604,22847,0,0,2213,24238,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
PORTE,De 51 a 150 matrículas,6833,18463,21,-,5823,19394,99,0,2047,23171,99,0,5554,19763,0,-,11875,13441,0,-,12253,13063,4638,19210,378,1090,6203,19113,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
PORTE,De 151 a 300 matrículas,6807,21023,1023,-,5627,21026,973,1227,714,26700,825,614,9309,19379,166,-,18717,9968,168,-,20261,8593,7921,19524,510,898,2903,25951,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
PORTE,De 301 a 500 matrículas,5632,18001,699,-,8838,15139,354,0,1114,22195,1023,0,9320,14973,38,-,16266,8066,0,-,17014,7317,6018,17212,981,121,5603,18728,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
PORTE,De 501 a 1.000 matrículas,7823,11103,515,-,6297,12558,587,0,2263,15901,1126,151,9500,9627,314,-,12906,6506,28,-,14001,5440,6032,12370,1039,0,3541,15900,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
PORTE,Mais de 1.000 matrículas,2763,2605,213,-,2009,3571,0,0,742,4653,185,0,3343,2197,41,-,3830,1709,41,-,4403,1177,1293,3686,599,2,1121,4459,PORTE,Mais de 1.000 matrículas,PORTE_Mais_de_1.000_matrículas,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,23989,50053,2377,-,24634,48630,1928,1227,5235,67585,2834,765,32031,43867,521,-,54505,21677,238,-,57909,18511,19154,53362,3166,737,15414,61005,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Sim,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,6796,46518,239,-,7299,45775,480,0,2060,51070,423,0,7277,46238,38,-,17909,35644,0,-,19232,34321,10352,41486,341,1374,6169,47384,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Não,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,Fonte:_Núcleo_de_Informação_e_Coordenação_do_Ponto_BR._(2024)._Pesquisa_sobre_o_uso_das_tecnologias_de_informação_e_comunicação_nos_domicílios_brasileiros:_TIC_Educação_2024_[Tabelas]._Total,G4,"G4 - ESCOLAS, POR TIPOS DE AMBIENTES E PLATAFORMAS VIRTUAIS DE APRENDIZAGEM UTILIZADOS NOS ÚLTIMOS 12 MESES"
