Total,col_1,Sim,Não,Não sabe,Não respondeu,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
TOTAL,Total,123303,1358,7,-,TOTAL,Total,TOTAL_Total,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
REGIÃO,Norte,15168,716,0,-,REGIÃO,Norte,REGIÃO_Norte,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
REGIÃO,Nordeste,48560,151,0,-,REGIÃO,Nordeste,REGIÃO_Nordeste,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
REGIÃO,Sudeste,36424,254,7,-,REGIÃO,Sudeste,REGIÃO_Sudeste,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
REGIÃO,Sul,15553,110,0,-,REGIÃO,Sul,REGIÃO_Sul,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
REGIÃO,Centro-Oeste,7599,127,0,-,REGIÃO,Centro-Oeste,REGIÃO_Centro-Oeste,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
ÁREA,Urbana,82260,550,7,-,ÁREA,Urbana,ÁREA_Urbana,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
ÁREA,Rural,41043,808,0,-,ÁREA,Rural,ÁREA_Rural,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
LOCALIZAÇÃO,Capital,16990,289,7,-,LOCALIZAÇÃO,Capital,LOCALIZAÇÃO_Capital,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
LOCALIZAÇÃO,Interior,106313,1069,0,-,LOCALIZAÇÃO,Interior,LOCALIZAÇÃO_Interior,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
DEPENDÊNCIA ADMINISTRATIVA,Municipal,69707,897,0,-,DEPENDÊNCIA ADMINISTRATIVA,Municipal,DEPENDÊNCIA_ADMINISTRATIVA_Municipal,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
DEPENDÊNCIA ADMINISTRATIVA,Estadual,27194,448,0,-,DEPENDÊNCIA ADMINISTRATIVA,Estadual,DEPENDÊNCIA_ADMINISTRATIVA_Estadual,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)",97511,1358,7,-,DEPENDÊNCIA ADMINISTRATIVA,"Públicas (Municipal, Estadual e Federal)","DEPENDÊNCIA_ADMINISTRATIVA_Públicas_(Municipal,_Estadual_e_Federal)",A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
DEPENDÊNCIA ADMINISTRATIVA,Particular,25791,0,0,-,DEPENDÊNCIA ADMINISTRATIVA,Particular,DEPENDÊNCIA_ADMINISTRATIVA_Particular,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
