Total,col_1,Sim,Não,Não sabe,Não respondeu,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,51636,862,0,-,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,41015,239,0,-,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,30652,257,7,-,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
PORTE,Até 50 matrículas,22842,131,0,-,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
PORTE,De 51 a 150 matrículas,22909,712,0,-,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
PORTE,De 151 a 300 matrículas,28780,73,0,-,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
PORTE,De 301 a 500 matrículas,24252,0,0,-,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
PORTE,De 501 a 1.000 matrículas,19046,334,7,-,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
PORTE,Mais de 1.000 matrículas,5473,107,0,-,PORTE,Mais de 1.000 matrículas,PORTE_Mais_de_1.000_matrículas,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,76028,384,7,-,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Sim,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,47275,974,0,-,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Não,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,,,,,Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,Fonte:_Núcleo_de_Informação_e_Coordenação_do_Ponto_BR._(2024)._Pesquisa_sobre_o_uso_das_tecnologias_de_informação_e_comunicação_nos_domicílios_brasileiros:_TIC_Educação_2024_[Tabelas]._Total,A4,"A4 - ESCOLAS COM ACESSO À INTERNET, POR PRESENÇA DE REDE SEM FIO"
