Total,col_1,Sala da coordenação pedagógica ou da direção_Sim,Sala da coordenação pedagógica ou da direção_Não,Sala da coordenação pedagógica ou da direção_Não sabe,Sala da coordenação pedagógica ou da direção_Não respondeu,Sala da coordenação pedagógica ou da direção_Não se aplica,Sala dos professores ou sala de reunião_Sim,Sala dos professores ou sala de reunião_Não,Sala dos professores ou sala de reunião_Não sabe,Sala dos professores ou sala de reunião_Não respondeu,Sala dos professores ou sala de reunião_Não se aplica,Sala de aula_Sim,Sala de aula_Não,Sala de aula_Não sabe,Sala de aula_Não respondeu,Sala de aula_Não se aplica,Biblioteca ou sala de estudos para os alunos_Sim,Biblioteca ou sala de estudos para os alunos_Não,Biblioteca ou sala de estudos para os alunos_Não sabe,Biblioteca ou sala de estudos para os alunos_Não respondeu,Biblioteca ou sala de estudos para os alunos_Não se aplica,Laboratório de informática_Sim,Laboratório de informática_Não,Laboratório de informática_Não sabe,Laboratório de informática_Não respondeu,Laboratório de informática_Não se aplica,Sala de recursos de robótica_Sim,Sala de recursos de robótica_Não,Sala de recursos de robótica_Não sabe,Sala de recursos de robótica_Não respondeu,Sala de recursos de robótica_Não se aplica,Sala ou laboratório multimídia_Sim,Sala ou laboratório multimídia_Não,Sala ou laboratório multimídia_Não sabe,Sala ou laboratório multimídia_Não respondeu,Sala ou laboratório multimídia_Não se aplica,Pátio ou área de recreação para os alunos_Sim,Pátio ou área de recreação para os alunos_Não,Pátio ou área de recreação para os alunos_Não sabe,Pátio ou área de recreação para os alunos_Não respondeu,Pátio ou área de recreação para os alunos_Não se aplica,categoria_principal,categoria_secundaria,observacao_id,sheet_origem,titulo_sheet
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,15268,23763,-,-,13467,10516,21084,40,-,20858,30447,16261,0,-,5790,14891,4317,-,-,33291,8292,25,-,-,44181,1606,19,-,-,50873,3737,131,-,-,48630,18986,10147,-,-,23366,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos iniciais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_iniciais_do_Ensino_Fundamental,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,12150,22363,-,-,6741,10444,20273,0,-,10537,26036,9114,0,-,6104,16781,1677,-,-,22795,14486,55,-,-,26713,3109,0,-,-,38144,4725,310,-,-,36218,18574,4681,-,-,17999,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até anos finais do Ensino Fundamental,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_anos_finais_do_Ensino_Fundamental,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,13903,15277,-,-,1736,11271,17528,0,-,2117,22352,5051,359,-,3154,21692,553,-,-,8670,18052,30,-,-,12834,5652,184,-,-,25080,8118,1293,-,-,21504,18856,2437,-,-,9623,NÍVEL DE ENSINO MAIS ELEVADO OFERTADO,Até Ensino Médio ou Educação Profissional,NÍVEL_DE_ENSINO_MAIS_ELEVADO_OFERTADO_Até_Ensino_Médio_ou_Educação_Profissional,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
PORTE,Até 50 matrículas,8440,4702,-,-,9831,6429,2205,0,-,14339,12695,7358,0,-,2920,3529,1223,-,-,18222,1126,0,-,-,21847,390,0,-,-,22584,0,0,-,-,22973,10137,952,-,-,11884,PORTE,Até 50 matrículas,PORTE_Até_50_matrículas,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
PORTE,De 51 a 150 matrículas,6881,9716,-,-,7024,5303,7171,0,-,11148,13236,7461,0,-,2924,5995,807,-,-,16819,3402,0,-,-,20219,585,0,-,-,23036,1372,122,-,-,22127,9126,5625,-,-,8871,PORTE,De 51 a 150 matrículas,PORTE_De_51_a_150_matrículas,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
PORTE,De 151 a 300 matrículas,8858,17631,-,-,2364,7116,16628,0,-,5109,19606,5340,0,-,3908,15157,812,-,-,12885,10333,0,-,-,18520,2434,116,-,-,26304,4405,64,-,-,24385,12809,3670,-,-,12375,PORTE,De 151 a 300 matrículas,PORTE_De_151_a_300_matrículas,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
PORTE,De 301 a 500 matrículas,8509,14302,-,-,1441,6332,16233,0,-,1687,16512,4712,352,-,2676,11777,1527,-,-,10948,11254,0,-,-,12999,1989,0,-,-,22263,5100,35,-,-,19118,12999,3716,-,-,7537,PORTE,De 301 a 500 matrículas,PORTE_De_301_a_500_matrículas,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
PORTE,De 501 a 1.000 matrículas,6816,11494,-,-,1076,5180,13277,40,-,889,12700,4542,7,-,2137,12864,1696,-,-,4827,10936,82,-,-,8369,3847,44,-,-,15496,3904,1198,-,-,14285,8775,2346,-,-,8265,PORTE,De 501 a 1.000 matrículas,PORTE_De_501_a_1.000_matrículas,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
PORTE,Mais de 1.000 matrículas,1817,3558,-,-,206,1870,3369,0,-,341,4085,1014,0,-,482,4043,482,-,-,1055,3779,28,-,-,1774,1122,44,-,-,4414,1800,316,-,-,3464,2570,955,-,-,2055,PORTE,Mais de 1.000 matrículas,PORTE_Mais_de_1.000_matrículas,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,29791,42170,-,-,4459,25447,43740,40,-,7193,57327,13013,359,-,5720,47129,3914,-,-,25376,40646,50,-,-,35724,10267,44,-,-,66109,15659,1565,-,-,59196,40859,12285,-,-,23276,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Sim,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Sim,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,11530,19233,-,-,17485,6784,15144,0,-,26321,21507,17414,0,-,9327,6236,2633,-,-,39379,184,60,-,-,48004,101,159,-,-,47988,921,170,-,-,47157,15557,4980,-,-,27712,ESCOLA COM INTERNET E COMPUTADOR PARA USO DOS ALUNOS,Não,ESCOLA_COM_INTERNET_E_COMPUTADOR_PARA_USO_DOS_ALUNOS_Não,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fonte: Núcleo de Informação e Coordenação do Ponto BR. (2024). Pesquisa sobre o uso das tecnologias de informação e comunicação nos domicílios brasileiros: TIC Educação 2024 [Tabelas].,,Fonte:_Núcleo_de_Informação_e_Coordenação_do_Ponto_BR._(2024)._Pesquisa_sobre_o_uso_das_tecnologias_de_informação_e_comunicação_nos_domicílios_brasileiros:_TIC_Educação_2024_[Tabelas]._Total,C1,"C1 - ESCOLAS COM ACESSO À INTERNET, POR LOCAIS COM DISPONIBILIDADE DE ACESSO À REDE PARA OS ALUNOS"
