regiao,cluster,PC1,PC2
Centro-Oeste,1,-11.519200978706449,-0.6772965659172245
Nordeste,2,14.782303399569575,-7.641802041410688
Norte,1,-5.504346496524274,-4.4234461223896515
Sudeste,2,9.038751520772381,10.572628541556018
Sul,1,-6.797507445111242,2.1699161881615514
